evaluations raw_y evaporation_rate
292 1.9215987702 1.0000000000
325 1.9546520719 1.0000000000
354 2.0112630732 1.0000000000
365 2.2789425706 1.0000000000
611 2.3607176582 1.0000000000
649 2.4975024975 1.0000000000
890 2.5960539979 1.0000000000
940 2.6567481403 1.0000000000
1055 2.6624068158 1.0000000000
1113 2.8121484814 1.0000000000
1572 3.0229746070 1.0000000000
1573 3.2175032175 1.0000000000
1681 3.2594524120 1.0000000000
100000 3.2594524120 1.0000000000
evaluations raw_y evaporation_rate
1 1.2866700978 1.0000000000
35 1.3041210224 1.0000000000
37 1.3623978202 1.0000000000
48 1.5499070056 1.0000000000
67 1.5556938395 1.0000000000
155 1.7349063151 1.0000000000
221 1.7470300489 1.0000000000
244 1.7667844523 1.0000000000
257 1.8698578908 1.0000000000
275 1.9305019305 1.0000000000
402 1.9700551615 1.0000000000
456 2.0920502092 1.0000000000
562 2.1312872975 1.0000000000
626 2.1720243267 1.0000000000
643 2.5075225677 1.0000000000
701 2.5853154085 1.0000000000
762 2.7624309392 1.0000000000
1103 3.0376670717 1.0000000000
1442 3.1685678074 1.0000000000
1469 3.2425421530 1.0000000000
1789 3.4674063800 1.0000000000
1816 3.4770514604 1.0000000000
4406 3.5260930889 1.0000000000
4738 3.6390101892 1.0000000000
7774 3.6927621861 1.0000000000
7878 3.8167938931 1.0000000000
100000 3.7369207773 1.0000000000
evaluations raw_y evaporation_rate
1 1.0931351115 1.0000000000
18 1.1462631820 1.0000000000
21 1.2272950417 1.0000000000
63 1.4084507042 1.0000000000
85 1.4261266400 1.0000000000
108 1.5752993069 1.0000000000
143 1.6056518947 1.0000000000
227 1.6077170418 1.0000000000
235 1.6139444803 1.0000000000
276 1.7519271198 1.0000000000
317 1.7743080199 1.0000000000
326 1.7869907076 1.0000000000
344 1.8368846436 1.0000000000
392 1.8782870023 1.0000000000
527 1.9275250578 1.0000000000
599 1.9305019305 1.0000000000
761 2.0080321285 1.0000000000
852 2.0644095789 1.0000000000
877 2.1168501270 1.0000000000
907 2.1422450728 1.0000000000
936 2.1533161068 1.0000000000
982 2.1570319241 1.0000000000
1137 2.2789425706 1.0000000000
1221 2.3696682464 1.0000000000
1285 2.3923444976 1.0000000000
1444 2.4061597690 1.0000000000
1682 2.4582104228 1.0000000000
2047 2.5960539979 1.0000000000
2062 2.6680896478 1.0000000000
2245 2.7085590466 1.0000000000
2425 2.7624309392 1.0000000000
2509 2.7808676307 1.0000000000
3793 2.7995520717 1.0000000000
4875 2.8441410694 1.0000000000
5862 2.8901734104 1.0000000000
6180 2.8968713789 1.0000000000
6718 3.1367628607 1.0000000000
6888 3.1766200762 1.0000000000
7820 3.1847133758 1.0000000000
100000 3.1847133758 1.0000000000
evaluations raw_y evaporation_rate
1 1.3433637829 1.0000000000
51 1.4310246136 1.0000000000
60 1.4594279043 1.0000000000
64 1.5792798484 1.0000000000
77 1.6223231668 1.0000000000
114 1.7768301350 1.0000000000
131 1.7998560115 1.0000000000
148 1.8504811251 1.0000000000
155 2.0016012810 1.0000000000
277 2.0576131687 1.0000000000
305 2.1758050479 1.0000000000
319 2.3969319271 1.0000000000
529 2.4108003857 1.0000000000
590 2.7685492802 1.0000000000
613 2.8121484814 1.0000000000
1118 2.8702640643 1.0000000000
1264 2.9171528588 1.0000000000
1500 3.0376670717 1.0000000000
2119 3.1525851198 1.0000000000
4282 3.2594524120 1.0000000000
4645 3.2679738562 1.0000000000
4672 3.2938076416 1.0000000000
5035 3.6927621861 1.0000000000
100000 3.6927621861 1.0000000000
evaluations raw_y evaporation_rate
1 0.5772338952 1.0000000000
20 0.6843690118 1.0000000000
60 0.7144898542 1.0000000000
64 0.7675775253 1.0000000000
67 0.7874015748 1.0000000000
82 0.8124796880 1.0000000000
106 0.9924573243 1.0000000000
129 1.1379153391 1.0000000000
148 1.2357884330 1.0000000000
196 1.3290802764 1.0000000000
209 1.3535462913 1.0000000000
294 1.3728720483 1.0000000000
385 1.3989927252 1.0000000000
387 1.6436554898 1.0000000000
390 1.6589250166 1.0000000000
433 1.7692852088 1.0000000000
453 1.8181818182 1.0000000000
482 1.8867924528 1.0000000000
533 2.0048115477 1.0000000000
538 2.0341741253 1.0000000000
586 2.4154589372 1.0000000000
820 2.4582104228 1.0000000000
968 2.5227043391 1.0000000000
1000 2.6910656620 1.0000000000
1067 2.7808676307 1.0000000000
1299 2.7870680045 1.0000000000
1329 2.8441410694 1.0000000000
1367 2.8506271380 1.0000000000
2271 3.0084235860 1.0000000000
